latitude,longitude,lat-long
43.643304,-79.400725,"43.6425791,-79.40011729999999"
43.643329,-79.423822,"43.6438602,-79.4227573"
43.643341,-79.356377,"43.641675,-79.354006"
43.643383,-79.404573,"43.64333333333333,-79.40555555555557"
43.643385,-79.393729,"43.64407,-79.3929"
43.643441,-79.398366,"43.645102,-79.39744979999999"
43.643441,-79.398366,"43.6452091,-79.3960744"
43.643519,-79.423525,"43.6438602,-79.4227573"
43.643527,-79.366222,"43.6451308,-79.36536439999999"
43.643532,-79.422746,"43.6438602,-79.4227573"
43.643559,-79.366554,"43.64422,-79.36927"
43.643586,-79.422601,"43.6423847,-79.4240277"
43.643687,-79.391691,"43.643473,-79.390477"
43.643699,-79.421825,"43.6423847,-79.4240277"
43.643724,-79.422249,"43.643975,-79.419576"
43.643771,-79.421602,"43.643975,-79.419576"
43.643777,-79.39683,"43.64407,-79.3929"
43.643864,-79.408763,"43.64333333333333,-79.40555555555557"
43.643904,-79.402039,"43.645324,-79.40345"
43.643996,-79.401539,"43.6425791,-79.40011729999999"
43.644111,-79.395653,"43.6428899,-79.3946346"
43.64418,-79.419845,"43.6442457,-79.41610440000001"
43.644217,-79.402369,"43.645324,-79.40345"
43.644319,-79.418699,"43.643975,-79.419576"
43.644365,-79.383322,"43.643667,-79.380414"
43.644366,-79.368598,"43.645215,-79.364898"
43.644366,-79.368598,"43.64422,-79.36927"
43.644367,-79.429597,"43.6448617,-79.42822"
43.644418,-79.399597,"43.644395,-79.40065430000001"
43.644514,-79.400593,"43.6461512,-79.3998214"
43.644538,-79.398727,"43.644395,-79.40065430000001"
43.644548,-79.415557,"43.6442457,-79.41610440000001"
43.644563,-79.417663,"43.645665,-79.415345"
43.644565,-79.381344,"43.64595,-79.378761"
43.644565,-79.381344,"43.6452972,-79.3827914"
43.644566,-79.400649,"43.6461512,-79.3998214"
43.644676,-79.388326,"43.645859,-79.38783"
43.644705,-79.386367,"43.645859,-79.38783"
43.644748,-79.416664,"43.645665,-79.415345"
43.644759,-79.385628,"43.6458569,-79.3853654"
