latitude,longitude,uid
43.651281,-79.411717,7206
43.65277778,-79.42972222,7205
43.655,-79.418889,7204
43.668553,-79.338673,7337
43.663912,-79.327987,7336
43.6462176,-79.3855048,7334
43.69595,-79.328535,7331
43.6753188,-79.3462789,7339
43.6720273,-79.3470557,7338
43.637981,-79.424146,7112
43.640885,-79.416379,7111
43.6552778,-79.36583333333333,7110
43.6712581,-79.376367,7115
43.664524,-79.36793,7114
43.665867,-79.362506,7119
43.648575,-79.380042,7118
43.643473,-79.390477,7059
43.645859,-79.38783,7053
43.662132,-79.3656796,7056
43.640722,-79.391051,7054
43.66207,-79.37617,7055
43.660206,-79.3244,7319
43.668633,-79.291162,7318
43.665801,-79.384796,7272
43.668153,-79.38891,7273
43.657024,-79.377257,7270
43.662862,-79.383572,7271
43.652276,-79.380701,7275
43.7063473,-79.40161,7371
43.6978701,-79.39419,7377
43.696708,-79.40045,7376
43.6476616,-79.37549,7375
43.6487245,-79.36839,7374
43.667819,-79.35347,7098
43.663102,-79.373181,7014
43.64852,-79.380576,7015
43.656026,-79.385327,7012
43.645323,-79.395003,7010
43.677778,-79.405556,7139
43.641646,-79.375308,7168
43.646162,-79.378912,7169
43.687323,-79.304848,7085
43.668991,-79.379385,7031
43.6622222,-79.3825,7163
43.64333333333333,-79.40555555555557,7160
43.6575,-79.39527777777778,7161
43.6544444,-79.3711111111111,7167
43.657424,-79.381019,7164
43.64595,-79.378761,7283
43.668427,-79.38725,7281
43.669604,-79.381171,7280
43.661673,-79.337789,7287
43.665656,-79.352055,7286
43.6308933,-79.4722622,7289
43.6224434,-79.480284,7288
43.66986,-79.398443,7131
43.659471,-79.350325,7236
43.650492,-79.450842,7234
43.640255,-79.439223,7232
43.637922,-79.431734,7233
43.643769,-79.447915,7230
43.649172,-79.4445087,7238
43.663912,-79.416124,7239
43.6458569,-79.3853654,7057
43.66587,-79.33443,7278
43.658816,-79.367318,7508
43.654004,-79.444792,7497
43.6397,-79.44865,7496
43.653809,-79.3595,7493
43.673768,-79.391253,7494
43.654074,-79.398115,7491
43.656638,-79.358749,7489
43.716652,-79.399993,7485
43.684261,-79.299332,7486
43.678685,-79.297974,7483
43.65143,-79.47779,7480
43.64976,-79.48477,7479
43.664182,-79.449066,7477
43.64407,-79.3929,7474
43.61868,-79.48674,7471
43.6442,-79.38702,7468
43.64283,-79.38409,7467
43.65182,-79.47421,7466
43.685569,-79.408019,7465
43.651678,-79.375233,7458
43.651838,-79.378743,7462
43.645653,-79.464366,7461
43.665221,-79.394009,7457
43.688148,-79.362101,7454
43.669232,-79.374495,7452
43.640075,-79.414156,7451
43.678285,-79.347346,7450
43.697139,-79.31469,7449
43.694826,-79.295208,7448
43.673118,-79.318651,7445
43.689293,-79.295895,7447
43.66908,-79.3149,7446
43.66073,-79.47149,7444
43.63121,-79.41414,7440
43.66189,-79.42679,7437
43.65389,-79.4675,7438
43.676697,-79.445029,7434
43.68114,-79.4277,7435
43.663148,-79.347938,7433
43.669813,-79.3335,7431
43.633537,-79.437461,7430
43.663162,-79.309765,7427
43.63632,-79.47307,7425
43.697819,-79.38786,7424
43.638426,-79.429142,7422
43.65988,-79.38279,7418
43.667023,-79.401805,7419
43.66842,-79.410585,7420
43.66402,-79.46418,7414
43.66686,-79.46526,7415
43.671278,-79.372127,7410
43.635023,-79.399505,7411
43.66834,-79.38235,7409
43.65263,-79.38766,7408
43.65158,-79.38655,7407
43.70547,-79.40355,7403
43.641675,-79.354006,7400
