latitude,longitude,lat-long
43.651303,-79.411447,"43.65246,-79.413528"
43.651323,-79.476482,"43.65143,-79.47779"
43.65134,-79.364517,"43.649709,-79.364184"
43.65137,-79.475835,"43.65182,-79.47421"
43.651379,-79.44657,"43.649172,-79.4445087"
43.651418,-79.374811,"43.652634,-79.374222"
43.651424,-79.390084,"43.652327224103,-79.3882538196087"
43.651429,-79.475798,"43.65143,-79.47779"
43.65144,-79.445738,"43.649172,-79.4445087"
43.651443,-79.397164,"43.650033,-79.396555"
43.651456,-79.475428,"43.65182,-79.47421"
43.651499,-79.374733,"43.6495789,-79.3762096"
43.651563,-79.367638,"43.648655,-79.367061"
43.651594,-79.361005,"43.651318,-79.36023"
43.651728,-79.366916,"43.651885,-79.3649"
43.651877,-79.407355,"43.651603,-79.408346"
43.651982,-79.408283,"43.651281,-79.411717"
43.651991,-79.365602,"43.653359,-79.365023"
43.652002,-79.40492,"43.6519501,-79.4060978"
43.652058,-79.379404,"43.652276,-79.380701"
43.652065,-79.379311,"43.6517925,-79.38269509999999"
43.652127,-79.377685,"43.653236,-79.376716"
43.652154,-79.40749,"43.651603,-79.408346"
43.652267,-79.361018,"43.651318,-79.36023"
43.652291,-79.407117,"43.6519501,-79.4060978"
43.652344,-79.441758,"43.6504218,-79.4407647"
43.652544,-79.398228,"43.652473,-79.401456"
43.652667,-79.378753,"43.652276,-79.380701"
43.652748,-79.356396,"43.6535,-79.354068"
43.652778,-79.356284,"43.6548521,-79.35397680000001"
43.652781,-79.441979,"43.6504218,-79.4407647"
43.652821,-79.449887,"43.6521,-79.4486"
43.652828,-79.37962,"43.652822,-79.378208"
43.652834,-79.357835,"43.6535,-79.354068"
43.652946,-79.377411,"43.651678,-79.375233"
43.652986,-79.360384,"43.652686,-79.358395"
43.653001,-79.468898,"43.65389,-79.4675"
43.653026,-79.37147,"43.651118,-79.369411"
43.653046,-79.36382,"43.65205,-79.362198"
43.653069,-79.400275,"43.653766,-79.4016759"
43.653101,-79.468306,"43.6525077,-79.4654233"
43.653135,-79.467844,"43.6535269,-79.4650569"
43.653188,-79.379303,"43.653264,-79.382458"
43.653218,-79.467615,"43.6543604,-79.4655296"
43.653219,-79.397447,"43.652823,-79.393388"
43.653222,-79.374961,"43.6559476,-79.37558829999999"
43.653222,-79.374961,"43.6544444,-79.3711111111111"
43.653235,-79.448831,"43.6521,-79.4486"
43.65324,-79.444157,"43.6508333333333,-79.4430555555556"
43.653304,-79.380023,"43.652822,-79.378208"
43.653304,-79.39704,"43.654074,-79.398115"
43.653338,-79.368715,"43.6552778,-79.36583333333333"
43.653465,-79.466401,"43.65412449999999,-79.4636388"
43.653507,-79.400439,"43.654074,-79.398115"
43.653567,-79.379504,"43.653236,-79.376716"
43.6536,-79.426916,"43.6554793,-79.4302462"
43.653623,-79.379862,"43.651838,-79.378743"
43.653623,-79.379862,"43.6517925,-79.38269509999999"
43.653629,-79.350715,"43.6548521,-79.35397680000001"
43.653669,-79.357451,"43.652686,-79.358395"
43.65369,-79.380131,"43.651838,-79.378743"
43.653716,-79.445358,"43.654004,-79.444792"
43.653725,-79.426749,"43.6554793,-79.4302462"
43.653729,-79.361764,"43.653809,-79.3595"
43.653765,-79.426194,"43.65277778,-79.42972222"
43.653807,-79.380056,"43.655431,-79.380653"
43.653896,-79.425934,"43.656945,-79.424911"
43.653902,-79.466565,"43.65412449999999,-79.4636388"
43.653907,-79.371704,"43.652777,-79.372637"
43.653998,-79.444329,"43.6538888888889,-79.4413888888889"
43.654,-79.371204,"43.652777,-79.372637"
43.654012,-79.464292,"43.6525077,-79.4654233"
43.654079,-79.391787,"43.6560758,-79.393259"
43.654108,-79.357289,"43.652219,-79.354455"
43.654121,-79.465104,"43.65716,-79.46478"
43.65415,-79.423217,"43.656945,-79.424911"
43.654187,-79.424251,"43.651145,-79.423742"
43.654187,-79.444262,"43.6538888888889,-79.4413888888889"
43.654245,-79.400323,"43.6537513,-79.4028245"
43.65425,-79.390973,"43.652327224103,-79.3882538196087"
43.654323,-79.369058,"43.6544444,-79.3711111111111"
43.654371,-79.451725,"43.6534268,-79.4512787"
43.654451,-79.398252,"43.6568254,-79.3966159"
43.654452,-79.391286,"43.656518,-79.389099"
43.654477,-79.391711,"43.6545174,-79.3895315"
43.654477,-79.391711,"43.652823,-79.393388"
43.654518,-79.44511,"43.654004,-79.444792"
43.654673,-79.388235,"43.656518,-79.389099"
43.654692,-79.40189,"43.652473,-79.401456"
43.654714,-79.380715,"43.655766,-79.3802"
43.654774,-79.399987,"43.654905,-79.398448"
43.654776,-79.386054,"43.65637299999999,-79.38781039999999"
43.654799,-79.387274,"43.6558557,-79.3894093"
43.654824,-79.466246,"43.65389,-79.4675"
43.654824,-79.466246,"43.6535269,-79.4650569"
43.654828,-79.379143,"43.657024,-79.377257"
43.654853,-79.421272,"43.6544915,-79.422634"
43.654854,-79.415101,"43.65246,-79.413528"
43.654854,-79.434822,"43.6555556,-79.43361111111112"
43.654856,-79.359372,"43.6561111,-79.36138888888888"
