,free_bikes,empty_slots,slots,altitude,ebikes,has_ebikes,normal_bikes,renting,returning,uid,Updated,lat-long
538,3,13,16,0.0,1,True,2,1,1,7676,1824h,"43.727365488246306,-79.3814254607724"
539,0,14,15,0.0,0,True,0,1,1,7677,1824h,"43.6846177,-79.39245919999999"
540,4,10,15,0.0,0,True,4,1,1,7354,1824h,"43.645835578756525,-79.32088910859937"
541,5,11,16,0.0,0,True,5,1,1,7678,1824h,"43.77345,-79.5002"
542,4,10,15,0.0,0,True,4,1,1,7429,1824h,"43.686442,-79.313404"
543,7,28,35,0.0,0,True,7,1,1,7667,1824h,"43.66402799999999,-79.40297869999999"
544,19,1,24,0.0,0,True,19,1,1,7681,1824h,"43.6544839,-79.34105699999999"
545,18,2,20,0.0,1,True,17,1,1,7382,1824h,"43.6481303,-79.38632"
546,36,2,39,,0,True,36,1,1,7022,1824h,"43.65049,-79.3873"
547,11,10,23,0.0,0,True,11,1,1,7682,1824h,"43.64134790000001,-79.4013882"
548,22,1,23,0.0,0,True,22,1,1,7684,1824h,"43.64215,-79.377"
549,1,14,15,0.0,0,True,1,1,1,7237,1824h,"43.663337,-79.446444"
550,1,17,19,0.0,0,True,1,1,1,7322,1824h,"43.6392777,-79.4115736"
551,21,0,22,0.0,0,True,21,1,1,7685,1824h,"43.645102,-79.39744979999999"
552,0,12,12,0.0,0,True,0,1,1,7687,1824h,"43.6602021,-79.4342726"
553,12,3,15,0.0,0,True,12,1,1,7688,1824h,"43.644887,-79.45641169999999"
554,7,10,26,0.0,0,True,7,1,1,7689,1824h,"43.680012,-79.34403250000001"
555,12,2,14,0.0,0,True,12,1,1,7398,1824h,"43.641952,-79.380723"
556,13,2,15,0.0,0,True,13,1,1,7211,1824h,"43.637381,-79.406112"
557,25,2,27,0.0,0,True,25,1,1,7533,1824h,"43.63811,-79.397877"
558,13,2,15,0.0,0,True,13,1,1,7675,1824h,"43.64957,-79.432446"
559,14,0,15,0.0,0,True,14,1,1,7683,1824h,"43.64191,-79.378325"
560,12,14,26,0.0,0,True,12,1,1,7692,1824h,"43.6700692,-79.2971326"
561,0,18,19,0.0,0,True,0,1,1,7693,1824h,"43.6559476,-79.37558829999999"
562,7,12,19,0.0,0,True,7,1,1,7694,1824h,"43.707212,-79.2952873"
563,13,5,19,0.0,0,True,13,1,1,7695,1824h,"43.6677628,-79.30811709999999"
564,9,10,19,0.0,0,True,9,1,1,7696,1824h,"43.6750806,-79.3068697"
565,8,5,13,0.0,0,True,8,1,1,7698,1824h,"43.6754247,-79.4547813"
566,12,3,15,0.0,0,True,12,1,1,7697,1824h,"43.67392479999999,-79.4615434"
567,18,1,19,0.0,0,True,18,1,1,7701,1824h,"43.6467433,-79.446895"
568,2,18,23,0.0,0,True,2,1,1,7216,1824h,"43.6409957,-79.40966630000001"
569,7,11,18,0.0,0,True,7,1,1,7702,1824h,"43.6593483,-79.34993659999999"
570,1,18,19,0.0,0,True,1,1,1,7691,1824h,"43.67168,-79.421192"
571,5,11,16,0.0,0,True,5,1,1,7050,1824h,"43.652634,-79.374222"
572,15,10,27,0.0,0,True,15,1,1,7037,1824h,"43.6519501,-79.4060978"
573,14,5,19,10.0,0,True,14,1,1,7703,1824h,"43.6613642,-79.3641171"
574,2,16,19,0.0,0,True,2,1,1,7704,1824h,"43.6808774,-79.3304491"
575,14,5,19,0.0,0,True,14,1,1,7705,1824h,"43.6623658,-79.3413344"
576,15,11,27,0.0,0,True,15,1,1,7706,1824h,"43.6791345,-79.3263159"
