free_bikes,empty_slots,slots,altitude,ebikes,normal_bikes,renting,returning,uid,Updated,name,distance,popularity,open_now,rating,my_timestamp,cat1_id,cat1_name
6,6,15,0.0,0,6,1,1,7107,1824h,Insite Realty Corp Brokerage,97,,False,,2022-12-05 11:33:10.804262-05:00,13033.0,Bubble Tea Shop
6,6,15,0.0,0,6,1,1,7107,1824h,Madrina Bar Y Tapas,231,0.9678575651405492,False,7.0,2022-12-05 11:33:10.804269-05:00,13377.0,Vegan and Vegetarian Restaurant
6,6,15,0.0,0,6,1,1,7107,1824h,Dancemakers and the Centre for Creation,162,0.8119123037382305,False,,2022-12-05 11:33:10.804275-05:00,13034.0,Café
6,6,15,0.0,0,6,1,1,7107,1824h,Benner Leif Designer Goldsmith,163,0.5524391534062268,False,,2022-12-05 11:33:10.804281-05:00,13065.0,Restaurant
6,6,15,0.0,0,6,1,1,7107,1824h,Arena Coffee Bar,163,0.8384477039784431,True,,2022-12-05 11:33:10.804288-05:00,13040.0,Dessert Shop
6,6,15,0.0,0,6,1,1,7107,1824h,Biltmore Domicile,165,0.1054134954664542,False,,2022-12-05 11:33:10.804294-05:00,13145.0,Fast Food Restaurant
6,6,15,0.0,0,6,1,1,7107,1824h,Marilyn and Charles Baillie Theatre,108,,False,,2022-12-05 11:33:10.804300-05:00,11121.0,Media Agency
6,6,15,0.0,0,6,1,1,7107,1824h,Jane Corkin Gallery,108,,False,,2022-12-05 11:33:10.804307-05:00,16032.0,Park
6,6,15,0.0,0,6,1,1,7107,1824h,Aluna Theatre,109,,False,,2022-12-05 11:33:10.804314-05:00,11045.0,Bank
6,6,15,0.0,0,6,1,1,7107,1824h,Kodiak Gallery,172,0.654753533178585,False,,2022-12-05 11:33:10.804320-05:00,13003.0,Bar
6,6,15,0.0,0,6,1,1,7107,1824h,Toronto Garage Door Repair,112,,True,,2022-12-05 11:33:10.804326-05:00,16032.0,Park
6,6,15,0.0,0,6,1,1,7107,1824h,Cacao 70,313,0.9468047370419004,True,8.5,2022-12-05 11:33:10.804333-05:00,12101.0,Church
6,6,15,0.0,0,6,1,1,7107,1824h,Mini Mioche Inc,180,0.4210876775923978,True,,2022-12-05 11:33:10.804339-05:00,11122.0,Metals Supplier
6,6,15,0.0,0,6,1,1,7107,1824h,Canary Eye Care,181,0.9476821975095058,True,,2022-12-05 11:33:10.804345-05:00,17034.0,Discount Store
